title,price,mileage,location
2017 Ford Fiesta SE,"$6,990","64,372 mi.","Miami, FL (1,716 mi.)"
2019 Ford Fiesta SE,"$8,119","92,119 mi.","Springfield, MO (658 mi.)"
2015 Ford Fiesta SE,"$6,987","117,862 mi.","Muskegon, MI (998 mi.)"
2016 Ford Fiesta ST,"$10,989","100,423 mi.","Springfield, MO (658 mi.)"
2019 Ford Fiesta SE,"$8,435","71,117 mi.","North Richland Hills, TX (644 mi.)"
2016 Ford Fiesta SE,"$9,338","64,466 mi.","Perrysburg, OH (1,122 mi.)"
2019 Ford Fiesta ST Line,"$14,000","53,290 mi.","Kenosha, WI (909 mi.)"
2017 Ford Fiesta Titanium,"$9,995","82,703 mi.","Avon, MA (1,767 mi.)"
2016 Ford Fiesta S,"$6,998","92,625 mi.","Renfrew, PA (1,314 mi.)"
2019 Ford Fiesta SE,"$12,398","32,703 mi.","Lincoln, NE (443 mi.)"
2018 Ford Fiesta ST,"$15,981","70,777 mi.","Eugene, OR (977 mi.)"
2019 Ford Fiesta SE,"$11,850","23,108 mi.","Mentor, OH (1,243 mi.)"
2013 Ford Fiesta SE,"$6,982","75,759 mi.","Columbus, GA (1,219 mi.)"
2013 Ford Fiesta S,"$6,973","62,029 mi.","Granger, IN (994 mi.)"
2018 Ford Fiesta SE,"$11,300","13,212 mi.","Sarasota, FL (1,545 mi.)"
2014 Ford Fiesta ST,"$8,399","104,037 mi.","Miami, FL (1,715 mi.)"
2018 Ford Fiesta ST,"$13,984","70,627 mi.","Henderson, NV (606 mi.)"
2017 Ford Fiesta S,"$8,500","57,034 mi.","Surprise, AZ (593 mi.)"
2017 Ford Fiesta SE,"$6,921","96,264 mi.","Cincinnati, OH (1,099 mi.)"
2019 Ford Fiesta SE,"$12,495","66,638 mi.","Hopkins, MN (689 mi.)"
2013 Ford Fiesta SE,"$7,998","89,818 mi.","Mesa, AZ (578 mi.)"
2019 Ford Fiesta SE,"$16,510","20,877 mi.","Woodhaven, MI (1,144 mi.)"
2015 Ford Fiesta ST,"$10,995","78,688 mi.","Ann Arbor, MI (1,114 mi.)"
2012 Ford Fiesta SE,"$8,043","155,000 mi.","Wesley Chapel, FL (1,514 mi.)"
2019 Ford Fiesta SE,"$9,999","75,055 mi.","Peoria, AZ (585 mi.)"
2017 Ford Fiesta SE,"$10,985","30,652 mi.","Columbus, OH (1,157 mi.)"
2016 Ford Fiesta ST,"$12,900","66,222 mi.","Columbus, OH (1,169 mi.)"
2019 Ford Fiesta ST Line,"$17,999","22,973 mi.","Canton, MA (1,763 mi.)"
2013 Ford Fiesta SE,"$9,795","39,812 mi.","National City, CA (835 mi.)"
2017 Ford Fiesta SE,"$6,999","83,992 mi.","Draper, UT (371 mi.)"
2019 Ford Fiesta SE,"$11,799","39,268 mi.","Forest Park, IL (907 mi.)"
2015 Ford Fiesta SE,"$6,251","139,628 mi.","Oxnard, CA (871 mi.)"
2017 Ford Fiesta SE,"$9,884","57,260 mi.","Jacksonville, FL (1,471 mi.)"
2018 Ford Fiesta SE,"$9,888","74,353 mi.","Granite City, IL (796 mi.)"
2018 Ford Fiesta SE,"$8,988","54,014 mi.","St Augustine, FL (1,500 mi.)"
2019 Ford Fiesta SE,"$9,989","111,698 mi.","Christiansburg, VA (1,340 mi.)"
2018 Ford Fiesta ST,"$13,795","58,372 mi.","Jacksonville, FL (1,473 mi.)"
2019 Ford Fiesta SE,"$11,135","61,438 mi.","Spring, TX (860 mi.)"
2014 Ford Fiesta S,"$6,487","169,536 mi.","Seekonk, MA (1,754 mi.)"
2019 Ford Fiesta ST,"$13,995","72,078 mi.","Cincinnati, OH (1,085 mi.)"
2019 Ford Fiesta SE,"$11,998","35,383 mi.","Portage, WI (841 mi.)"
2013 Ford Fiesta SE,"$6,495","94,708 mi.","Paulding, OH (1,074 mi.)"
2016 Ford Fiesta Titanium,"$6,110","122,693 mi.","DuBois, PA (1,375 mi.)"
2019 Ford Fiesta S,"$12,995","65,245 mi.","Columbus, GA (1,220 mi.)"
2019 Ford Fiesta SE,"$13,695","84,882 mi.","Union City, GA (1,208 mi.)"
2014 Ford Fiesta Titanium,"$11,990","66,652 mi.","Champaign, IL (885 mi.)"
2016 Ford Fiesta S,"$11,599","76,564 mi.","Memphis, TN (888 mi.)"
2015 Ford Fiesta SE,"$9,599","124,829 mi.","Springfield, MO (659 mi.)"
2019 Ford Fiesta SE,"$13,495","97,710 mi.","Ocala, FL (1,486 mi.)"
2019 Ford Fiesta SE,"$11,895","41,344 mi.","Camdenton, MO (668 mi.)"
2017 Ford Fiesta SE,"$11,595","82,265 mi.","Morrow, GA (1,218 mi.)"
2019 Ford Fiesta SE,"$12,998","67,853 mi.","Baton Rouge, LA (1,017 mi.)"
2015 Ford Fiesta SE,"$9,990","12,345 mi.","Niagara Falls, NY (1,360 mi.)"
2016 Ford Fiesta S,"$10,599","101,888 mi.","Newport News, VA (1,543 mi.)"
2018 Ford Fiesta SE,"$13,998","52,240 mi.","Wilmington, NC (1,538 mi.)"
2019 Ford Fiesta SE,"$13,599","63,557 mi.","Winston-Salem, NC (1,362 mi.)"
2015 Ford Fiesta SE,"$5,950","107,000 mi.","Rochester, NY (1,428 mi.)"
2019 Ford Fiesta SE,"$13,998","31,834 mi.","San Diego, CA (830 mi.)"
2017 Ford Fiesta SE,"$12,599","70,063 mi.","Rogers, AR (636 mi.)"
2017 Ford Fiesta ST Hatch,"$6,995","144,708 mi.","Dallas, TX (657 mi.)"
2015 Ford Fiesta SE,"$8,777","124,674 mi.","Reedley, CA (816 mi.)"
2018 Ford Fiesta SE,"$12,998","53,421 mi.","Lubbock, TX (462 mi.)"
2018 Ford Fiesta SE,"$11,195","125,141 mi.","Hialeah, FL (1,713 mi.)"
2019 Ford Fiesta SE,"$15,795","89,317 mi.","Colorado Springs, CO (65 mi.)"
2019 Ford Fiesta SE,"$8,245","99,707 mi.","Newnan, GA (1,201 mi.)"
2015 Ford Fiesta SE,"$9,995","58,103 mi.","Anchorage, AK (2,394 mi.)"
2014 Ford Fiesta SE,"$7,277","99,665 mi.","Warren, PA (1,353 mi.)"
2016 Ford Fiesta SE,"$13,998","20,401 mi.","Roseville, CA (874 mi.)"
2015 Ford Fiesta SE,"$7,493","98,416 mi.","West Bend, WI (900 mi.)"
2019 Ford Fiesta SE,"$13,295","101,311 mi.","Stone Mountain, GA (1,217 mi.)"
2014 Ford Fiesta SE,"$7,499","102,129 mi.","Fort Wayne, IN (1,043 mi.)"
2018 Ford Fiesta SE,"$13,495","74,602 mi.","El Paso, TX (561 mi.)"
2015 Ford Fiesta SE,"$6,000","93,978 mi.","Fort Myers, FL (1,615 mi.)"
2014 Ford Fiesta SE,"$8,995","90,494 mi.","Spokane Valley, WA (817 mi.)"
2019 Ford Fiesta SE,"$8,333","104,407 mi.","Union City, GA (1,208 mi.)"
2019 Ford Fiesta SE,"$13,795","73,093 mi.","Duluth, GA (1,216 mi.)"
2013 Ford Fiesta SE,"$5,990","160,611 mi.","Durand, IL (834 mi.)"
2019 Ford Fiesta ST Line,"$13,995","72,648 mi.","Perry, FL (1,378 mi.)"
2019 Ford Fiesta SE,"$12,895","100,997 mi.","Huntsville, AL (1,065 mi.)"
2014 Ford Fiesta ST,"$8,095","131,375 mi.","Mesa, AZ (578 mi.)"
2019 Ford Fiesta SE,"$7,826","113,622 mi.","Monroeville, PA (1,327 mi.)"
2017 Ford Fiesta SE,"$14,599","23,762 mi.","Jackson, TN (923 mi.)"
